"date.time","Site","Region","Farm","site_ID","Plot","Moisture","treatment","Day"
2017-09-25 12:00:00,"D3","Dublin",3,"Dublin3","C1",63.7,"C",64
2017-07-23 12:00:00,"D3","Dublin",3,"Dublin3","D2",16.3,"D",0
2017-07-31 12:00:00,"D3","Dublin",3,"Dublin3","D2",17.7,"D",8
2017-08-08 12:00:00,"D3","Dublin",3,"Dublin3","D2",19.1,"D",16
2017-08-24 12:00:00,"D3","Dublin",3,"Dublin3","D2",26.1,"D",32
2017-09-25 12:00:00,"D3","Dublin",3,"Dublin3","D2",50.7,"D",64
2017-07-23 12:00:00,"D3","Dublin",3,"Dublin3","C2",55.1,"C",0
2017-07-31 12:00:00,"D3","Dublin",3,"Dublin3","C2",56.4,"C",8
2017-08-08 12:00:00,"D3","Dublin",3,"Dublin3","C2",54.5,"C",16
2017-08-24 12:00:00,"D3","Dublin",3,"Dublin3","C2",58.6,"C",32
2017-09-25 12:00:00,"D3","Dublin",3,"Dublin3","C2",61.5,"C",64
2017-07-23 12:00:00,"D3","Dublin",3,"Dublin3","C3",42.8,"C",0
2017-07-31 12:00:00,"D3","Dublin",3,"Dublin3","C3",47.3,"C",8
2017-08-08 12:00:00,"D3","Dublin",3,"Dublin3","C3",39.3,"C",16
2017-08-24 12:00:00,"D3","Dublin",3,"Dublin3","C3",45.6,"C",32
2017-09-25 12:00:00,"D3","Dublin",3,"Dublin3","C3",59.9,"C",64
2017-07-23 12:00:00,"D3","Dublin",3,"Dublin3","D3",13.7,"D",0
2017-07-31 12:00:00,"D3","Dublin",3,"Dublin3","D3",17,"D",8
2017-08-08 12:00:00,"D3","Dublin",3,"Dublin3","D3",18.7,"D",16
2017-08-24 12:00:00,"D3","Dublin",3,"Dublin3","D3",34.5,"D",32
2017-09-25 12:00:00,"D3","Dublin",3,"Dublin3","D3",46.8,"D",64
2017-07-25 12:00:00,"D4","Dublin",4,"Dublin4","D1",15.9,"D",0
2017-08-02 12:00:00,"D4","Dublin",4,"Dublin4","D1",27.4,"D",8
2017-08-10 12:00:00,"D4","Dublin",4,"Dublin4","D1",25.3,"D",16
2017-08-26 12:00:00,"D4","Dublin",4,"Dublin4","D1",42.1,"D",32
2017-09-27 12:00:00,"D4","Dublin",4,"Dublin4","D1",57.3,"D",64
2017-07-25 12:00:00,"D4","Dublin",4,"Dublin4","C1",48.1,"C",0
2017-08-02 12:00:00,"D4","Dublin",4,"Dublin4","C1",47.6,"C",8
2017-08-10 12:00:00,"D4","Dublin",4,"Dublin4","C1",40.7,"C",16
2017-08-26 12:00:00,"D4","Dublin",4,"Dublin4","C1",52.5,"C",32
2017-09-27 12:00:00,"D4","Dublin",4,"Dublin4","C1",58.8,"C",64
2017-07-25 12:00:00,"D4","Dublin",4,"Dublin4","D2",10.9,"D",0
2017-08-02 12:00:00,"D4","Dublin",4,"Dublin4","D2",22,"D",8
